Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,vg_user_score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
X360,66,7.4,2007.0,Shooter,Sierra Entertainment  ,TimeGate Studios/Day 1 Studios  ,6.9,,0.07,0.01,,0.01,0.09
X360,66,5.8,,Racing,Unknown  ,Milestone S.r.l  ,,,0.0,0.1,0.0,0.01,0.12
PC,66,tbd,2010.0,Puzzle,Blitz Game Studios  ,Remode  ,,,,,,,
PS2,66,8.7,2004.0,Fighting,Konami  ,Yuke's Future Media Creators  ,,,0.19,0.15,,0.05,0.39
PC,66,6.0,,Action,Unknown  ,Ubisoft Shanghai  ,,,,,,,
PS4,66,6.6,2016.0,Shooter,Sony Interactive Entertainment  ,d3t Ltd  ,,,,0.02,,0.0,0.02
DS,66,6.8,2011.0,Action,LucasArts  ,Traveller's Tales  ,6.3,,0.62,0.38,,0.1,1.1
PS2,66,8.5,2003.0,Simulation,Bandai  ,Bandai  ,,,0.05,0.04,0.61,0.01,0.72
PS2,66,8.1,2003.0,Shooter,Activision  ,Raster Productions  ,,,0.26,0.2,,0.07,0.53
PC,66,7.5,2002.0,Racing,Atari  ,Delphine Software International  ,,,,,,,
DS,66,8.3,2008.0,Adventure,Atari  ,Now Production  ,6.0,,0.04,0.01,,,0.05
PS4,66,7.2,2016.0,Fighting,Namco Bandai Games  ,Spike Chunsoft  ,,,0.21,0.26,0.09,0.09,0.65
X360,66,6.8,2008.0,Role-Playing,Square Enix  ,Square Enix  ,6.5,8.0,0.25,0.2,0.18,0.06,0.68
PS2,66,7.1,2006.0,Action,Namco Bandai  ,Grasshopper Manufacture  ,,,0.03,0.02,,0.01,0.05
PC,66,7.2,2007.0,Shooter,Capcom  ,Capcom  ,,,,0.0,,0.0,0.0
X360,66,6.8,2011.0,Sports,Microsoft Studios  ,Rare Ltd.  ,6.6,,1.38,0.72,0.02,0.21,2.33
PS5,66,6.5,2021.0,Platform,Oddworld Inhabitants  ,Oddworld Inhabitants  ,,,,,,,
X360,66,7.5,2011.0,Simulation,THQ  ,Blitz Game Studios  ,,,0.3,0.08,,0.04,0.41
PC,66,2.9,2015.0,Adventure,Tale of Tales  ,Tale of Tales  ,,,,,,,
PS4,66,3.8,2018.0,Shooter,Daybreak Games  ,Daybreak Games  ,,,,,,,
PS4,66,4.2,2016.0,Racing,Dusenberry Martin Racing  ,Monster Games  ,,,0.12,,,0.03,0.15
PS3,66,5.6,2010.0,Simulation,Activision  ,Gaijin Entertainment  ,,,0.11,0.06,,0.02,0.2
PC,66,7.6,2005.0,Action,Ubisoft  ,Darkworks  ,,,,0.0,,0.0,0.0
PS4,66,7.1,2019.0,Action-Adventure,Saber Interactive  ,Mad Dog Games  ,,,,,,,
PS2,66,6.2,2004.0,Misc,Atari  ,Digital Eclipse  ,,,0.33,0.01,,0.05,0.4
WiiU,66,7.9,2012.0,Music,Ubisoft  ,Ubisoft  ,,,0.21,0.14,,0.03,0.38
XOne,66,tbd,,Adventure,Unknown  ,Prologue Games  ,,,,,,,
PS2,66,8.2,2005.0,Simulation,Konami  ,Genki  ,,,0.01,0.01,,0.0,0.03
GBA,66,8.7,2005.0,Misc,Konami  ,Konami  ,,,0.3,0.11,,0.01,0.42
PSP,66,7.5,2005.0,Role-Playing,Agetec  ,G-Artists  ,,,0.05,0.0,,0.0,0.06
PS2,66,7.9,2007.0,Fighting,SNK Playmore  ,SNK Playmore Corporation  ,,,0.16,0.13,,0.04,0.33
PC,66,6.5,2013.0,Shooter,2K Games  ,2K Marin  ,,,,0.05,,0.0,0.05
PC,66,4.8,2018.0,Racing,Ubisoft  ,Ivory Tower  ,,,,,,,
PC,66,7.9,2015.0,Role-Playing,Idea Factory International  ,Compile Heart  ,,,,,,,
PSV,66,7.3,2014.0,Fighting,Namco Bandai Games  ,ArtDink  ,,,,0.05,0.06,0.01,0.12
Wii,66,8.8,2009.0,Adventure,Square Enix  ,Square Enix  ,6.7,,0.21,0.08,0.08,0.03,0.39
PSV,66,5.2,2013.0,Misc,Sony Computer Entertainment  ,HumaNature Studios  ,,,0.0,0.01,,0.0,0.01
GBA,66,8.2,2004.0,Puzzle,Nintendo  ,Nintendo  ,,,0.31,0.11,0.13,0.01,0.56
GBA,66,8.2,2004.0,Puzzle,Nintendo  ,Nintendo EAD  ,6.1,,,,0.13,,0.13
PS2,66,tbd,2003.0,Racing,XS Games  ,Jester Interactive  ,,,0.35,0.27,,0.09,0.71
PS2,66,7.6,2003.0,Racing,Midway Games  ,Midway Games  ,,,0.05,0.04,,0.01,0.1
PS2,66,7.4,2003.0,Racing,Capcom  ,Capcom  ,,,0.19,0.15,,0.05,0.39
XB,66,7.3,2003.0,Fighting,TDK Mediactive  ,DreamFactory  ,,,0.08,0.02,,0.0,0.1
PS2,66,8.2,2003.0,Action,Agetec  ,Irem Software Engineering  ,,,0.03,0.02,0.15,0.01,0.21
PS,66,7.7,2000.0,Role-Playing,Agetec  ,Agetec Inc.  ,,,0.11,0.07,0.29,0.03,0.5
PS,66,7.7,2000.0,Role-Playing,Agetec  ,Kuusou Kagaku  ,,,,,0.29,,0.29
DS,66,tbd,2009.0,Misc,Ubisoft  ,Ubisoft  ,,,0.06,,,0.0,0.07
NS,66,6.6,2021.0,Action-Adventure,Warner Bros. Interactive Entertainment  ,DC Studios  ,,,,,,,
NS,66,6.7,2017.0,Fighting,Capcom  ,Capcom  ,7.0,,0.22,0.22,0.09,0.04,0.57
PSV,66,7.8,2012.0,Role-Playing,Xseed Games  ,Game Arts  ,,,0.2,0.01,0.16,0.05,0.42
PSP,66,7.7,2006.0,Adventure,Sony Computer Entertainment  ,Sony Computer Entertainment America  ,,,0.11,,,0.01,0.12
PS4,66,5.6,2018.0,Platform,THQ Nordic  ,3D Realms  ,,7.0,0.02,,,0.0,0.02
PS2,66,6.9,2006.0,Sports,EA Sports  ,EA Tiburon  ,,,0.38,0.01,,0.06,0.45
PS4,66,6.5,2017.0,Adventure,Sony Interactive Entertainment  ,Supermassive Games Ltd.  ,,,0.08,0.42,,0.09,0.59
PC,66,4.3,2011.0,Role-Playing,Electronic Arts  ,BioWare  ,5.6,,,,,,
DS,66,tbd,2005.0,Platform,THQ  ,Avalanche Software  ,,,0.09,,,0.01,0.09
NS,66,5.2,2020.0,Platform,Team Meat  ,Team Meat  ,,,,,,,
PS3,66,7.1,2009.0,Misc,Electronic Arts  ,Adrenalin Interactive  ,,,0.12,0.11,,0.05,0.28
PS3,66,4.5,2009.0,Platform,Activision  ,Beenox  ,,,0.21,0.06,,0.04,0.31
DS,66,4.5,2006.0,Simulation,Majesco  ,Backbone Entertainment  ,,,0.03,0.0,,0.0,0.03
PS2,66,8.7,2004.0,Sports,Sony Computer Entertainment  ,Page 44 Studios  ,,,0.08,0.07,,0.02,0.17
PS2,66,6.3,2007.0,Adventure,Atari  ,Etranges Libellules  ,,,,,,,
NS,66,6.9,2020.0,Action-Adventure,Tripwire Interactive  ,Tripwire Interactive  ,,,,,,,
PC,66,5.2,2020.0,Role-Playing,Koei Tecmo  ,Gust  ,,,,,,,
XOne,66,7.3,2019.0,Role-Playing,Merge Games  ,Fatbot Games  ,,,,,,,
XOne,66,6.2,2018.0,Role-Playing,Focus Home Interactive  ,Cyanide  ,,,0.05,,,0.01,0.05
XOne,66,6.8,2018.0,Action,THQ Nordic  ,THQ Nordic  ,,,0.02,,,0.0,0.02
NS,66,6.0,2017.0,Sports,Zen Studios  ,Zen Studios  ,,,,,,,
PS4,66,6.2,2014.0,Platform,LOOT Entertainment  ,Mimimi Productions  ,,,,,,,
PC,66,7.0,2013.0,Action,Born Ready Games  ,Born Ready Games Ltd.  ,,,,,,,
DS,66,tbd,2009.0,Misc,Deep Silver  ,Deep Silver  ,,,0.01,0.0,,0.0,0.02
Wii,66,tbd,2008.0,Puzzle,Conspiracy Entertainment  ,Compile Heart  ,6.7,,0.06,0.0,,0.0,0.06
Wii,66,7.6,2008.0,Shooter,Sega  ,Sega  ,6.5,7.0,0.77,0.5,0.03,0.15,1.45
DS,66,4.1,2007.0,Simulation,Electronic Arts  ,Maxis  ,,,0.62,0.04,,0.05,0.72
PC,66,6.9,2004.0,Adventure,The Adventure Company  ,Revistonic  ,,,,,,,
GBA,66,tbd,2002.0,Sports,EA Sports BIG   ,Visual Impact  ,,,0.14,0.05,,0.0,0.19
PS2,66,7.2,2001.0,Platform,Universal Interactive  ,Traveller's Tales  ,6.9,,2.07,2.29,0.24,0.82,5.42
PS2,66,7.8,2001.0,Action,Square  ,SquareSoft  ,,,0.3,0.23,0.38,0.08,0.99
PS2,66,6.5,2000.0,Racing,EA Sports  ,EA Black Box  ,,,0.34,0.27,,0.09,0.7
X360,66,8.5,2008.0,Strategy,Sega  ,Petroglyph Games  ,,,0.09,0.01,,0.01,0.1
X360,66,6.9,2009.0,Racing,Codemasters  ,Asobo Studio  ,6.6,,0.09,0.18,0.0,0.04,0.31
PC,66,8.2,2009.0,Role-Playing,Square Enix  ,Square Enix  ,7.3,,,0.01,,0.0,0.01
PC,66,6.3,2004.0,Adventure,The Adventure Company  ,XXV Productions  ,,,,,,,
X360,66,7.9,2006.0,Simulation,Ubisoft  ,Ubisoft Romania  ,6.4,,0.36,0.02,,0.03,0.42
PS3,66,6.2,2010.0,Racing,Deep Silver  ,Techland  ,,,0.08,0.02,,0.02,0.12
PC,66,7.4,2009.0,Adventure,LucasArts  ,Traveller's Tales  ,6.8,,0.02,0.03,,0.01,0.05
DS,66,6.5,2007.0,Action,Disney Interactive Studios  ,Amaze Entertainment  ,,,0.3,0.01,0.01,0.03,0.34
PC,66,5.1,2019.0,Adventure,Wired Productions  ,Storm in a Teacup  ,,,,,,,
PS4,66,7.0,2017.0,Action,Tecmo Koei  ,Omega Force  ,,,0.07,0.02,0.05,0.02,0.16
X360,66,4.1,2006.0,Sports,2K Sports  ,Kush Games  ,6.3,,0.34,,,0.03,0.37
PS3,66,6.1,2014.0,Misc,Square Enix  ,Unknown  ,,,0.31,0.22,0.45,0.11,1.09
PS5,66,tbd,,Racing,Unknown  ,Milestone S.r.l.  ,,,,,,,
XOne,66,3.7,2020.0,Action,Square Enix  ,Crystal Dynamics  ,,,,,,,
PS4,66,6.4,2015.0,Sports,Maximum Games  ,HB Studios  ,,,0.09,0.02,,0.02,0.13
PS3,66,7.8,2013.0,Shooter,Bandai Namco Games  ,From Software  ,,,,,0.12,,0.12
XOne,66,5.5,2018.0,Action-Adventure,Microsoft Studios  ,Undead Labs  ,7.0,,0.27,0.14,,0.04,0.46
PC,66,7.0,,Misc,Unknown  ,Unknown  ,,,,,,,
PS3,66,7.7,2010.0,Sports,Sony Computer Entertainment  ,Team Ramrod  ,,,0.13,,,0.02,0.15
PC,66,7.2,2007.0,Adventure,The Adventure Company  ,AWE Games  ,,,,0.0,,0.0,0.0
PC,66,7.3,2007.0,Strategy,Ubisoft  ,Blue Byte  ,,,0.01,0.01,,0.0,0.02
GBA,66,7.8,2004.0,Racing,Nintendo  ,Nintendo  ,,,0.11,0.04,0.1,0.01,0.25
GBA,66,7.8,2004.0,Racing,Nintendo  ,Nintendo  ,6.4,,,,0.1,,0.1
XB,66,8.6,2004.0,Action,Gathering of Developers  ,Illusion Softworks  ,,,0.17,0.05,,0.01,0.23
PC,66,7.8,2000.0,Adventure,Mattel Interactive  ,Cyan Worlds  ,,,,,,,
PS,66,8.6,1999.0,Misc,Enix  ,Metro  ,7.0,,0.04,0.03,0.18,0.02,0.26
PS4,66,4.9,2018.0,Racing,Milestone S.r.l.  ,Milestone S.r.l  ,,,,,,,
XOne,66,5.5,2017.0,Racing,Strategy First  ,Kylotonn Entertainment  ,,,0.01,,,0.0,0.01
PC,66,6.7,2011.0,Role-Playing,Bethesda Softworks  ,Obsidian Entertainment  ,,,,,,,
XOne,66,7.2,2016.0,Action,Insomniac Games  ,Insomniac Games  ,,,0.12,,,0.01,0.13
PC,66,6.3,,Action,Unknown  ,Arachnid Games  ,,,,,,,
XOne,66,7.8,,Action,Unknown  ,Finish Line Games  ,,,,,,,
PC,66,8.7,2015.0,Misc,Unknown  ,Unknown  ,,,,,,,
3DS,66,7.0,2013.0,Misc,Jupiter Corporation  ,Unknown  ,,,,,,,
DS,66,6.0,2006.0,Action,Konami  ,Konami  ,,,0.02,,,0.0,0.03
3DS,66,6.4,2012.0,Sports,Sega  ,Sega  ,6.5,,0.18,0.66,0.27,0.08,1.19
PS4,66,7.2,2016.0,Action,Sony Interactive Entertainment  ,Rebellion Developments  ,,,0.09,0.04,,0.03,0.16
PC,66,6.2,2010.0,Role-Playing,Atari  ,Cryptic Studios  ,5.9,,,0.02,,0.0,0.02
PS3,66,7.7,2009.0,Sports,2K Sports  ,Visual Concepts  ,6.5,,0.13,0.01,,0.01,0.15
GBA,66,6.0,2005.0,Adventure,Buena Vista  ,Amaze Entertainment  ,6.8,,0.48,0.18,,0.01,0.67
PC,66,6.4,2009.0,Shooter,Aspyr  ,Digital Extremes  ,,,,,,,
XB,66,tbd,2004.0,Misc,Crave Entertainment  ,Coresoft  ,,,0.37,0.11,,0.02,0.51
WiiU,66,6.4,2015.0,Misc,Nintendo  ,"Nd Cube Co., Ltd.  ",6.3,,0.82,0.75,0.29,0.14,2.0
PS4,66,3.9,2017.0,Simulation,Electronic Arts  ,Maxis  ,,,0.44,0.72,0.01,0.22,1.39
PC,66,7.3,2014.0,Misc,Unknown  ,Unknown  ,,,,,,,
PS2,66,8.1,2006.0,Sports,EA Sports  ,EA Tiburon  ,,,0.28,0.22,,0.07,0.56
Wii,66,6.9,2009.0,Action,Capcom  ,Bionic Games  ,6.3,,0.09,0.01,,0.01,0.11
PS3,66,4.9,2009.0,Action,Electronic Arts  ,Bright Light Productions  ,,,0.15,0.13,,0.05,0.33
GBA,66,tbd,2004.0,Misc,Atari  ,Mistic Software  ,5.8,,0.16,0.06,,0.0,0.22
PC,66,4.5,2004.0,Sports,EA Sports  ,EA Canada  ,,,,,,,
PS2,66,6.8,2003.0,Simulation,VU Games  ,Warthog  ,,,0.08,0.06,,0.02,0.16
XB,66,7.7,2003.0,Action,Microsoft Game Studios  ,Rare Ltd.  ,,,0.11,0.03,,0.01,0.14
PS2,66,tbd,2002.0,Sports,Sega  ,Black Box Games  ,,,0.06,0.05,,0.02,0.12
PS2,66,7.8,2001.0,Shooter,KOEI  ,Omega Force  ,,,0.14,0.11,,0.04,0.29
PSP,66,8.1,2009.0,Adventure,Playlogic Game Factory  ,Hydravision Entertainment  ,6.5,,0.05,0.03,,0.01,0.09
PC,66,5.7,2011.0,Action,Capcom  ,Blue Castle Games  ,6.8,,0.04,0.02,,0.01,0.06
NS,66,6.6,2018.0,Role-Playing,NIS America  ,Unknown  ,7.0,,0.01,,,0.0,0.02
DS,66,5.8,2006.0,Simulation,Namco Bandai  ,NanaOn-Sha  ,,,0.09,0.01,0.86,0.01,0.97
PC,66,5.6,2014.0,Action-Adventure,Ubisoft  ,Ubisoft Sofia  ,,,,,,,
XB,66,8.4,2005.0,Adventure,DreamCatcher Interactive  ,Hydravision Entertainment  ,,,0.03,0.01,,0.0,0.04
PC,66,7.0,2013.0,Misc,Freebird Games  ,Unknown  ,,,,,,,
PSP,66,5.5,2006.0,Racing,EA Sports  ,EA Tiburon  ,7.2,,0.09,,,0.01,0.1
PC,66,6.9,2017.0,Action,Kalypso Media  ,Games Farm  ,,,0.01,0.0,,0.0,0.02
XOne,66,6.7,2014.0,Misc,E-Line Media  ,Unknown  ,,,,,,,
NS,66,7.1,2018.0,Sports,Nighthawk Interactive  ,Digital Dreams  ,,,0.08,,,0.01,0.09
NS,66,7.2,2018.0,Action,Nicalis  ,Studio Saizensen  ,7.2,,0.02,,0.01,0.0,0.03
PS2,66,8.5,2006.0,Fighting,SNK Playmore  ,SNK Playmore Corporation  ,,,0.01,0.01,0.05,0.0,0.08
PC,66,3.8,2010.0,Action,Ubisoft  ,Ubisoft Bucharest  ,,,,0.04,,0.01,0.05
NS,66,tbd,2019.0,Adventure,Fellow Traveller  ,Memory of God  ,,,,,,,
PC,66,7.1,2015.0,Role-Playing,Square Enix  ,Square Enix  ,,,,,,,
PS3,66,4.1,2012.0,Puzzle,Activision  ,Rovio Mobile  ,,,0.12,0.02,,0.03,0.17
NS,66,6.6,,Platform,Unknown  ,ArtDink  ,,,,,,,
PS2,66,8.3,2004.0,Strategy,Atari  ,High Voltage Software  ,,,0.13,0.1,,0.03,0.27
GBA,66,7.4,2004.0,Platform,Nintendo  ,Nintendo  ,,,0.1,0.04,0.2,0.01,0.34
GBA,66,7.4,2004.0,Platform,Nintendo  ,Nintendo  ,6.1,,,,0.2,,0.2
PS2,66,8.2,2003.0,Fighting,Atari  ,Dimps Corporation  ,,,1.63,0.22,0.51,0.06,2.41
PS2,66,8.4,2003.0,Platform,Eidos Interactive  ,Crystal Dynamics  ,,,0.06,0.05,,0.02,0.13
XOne,66,6.1,2020.0,Action,Xbox Game Studios  ,Ninja Theory  ,,,,,,,
PS2,66,7.2,2005.0,Role-Playing,Atlus  ,SoftMax  ,6.1,,0.11,0.08,,0.03,0.22
XOne,66,6.1,2015.0,Music,Ubisoft  ,Ubisoft Paris  ,,,0.3,0.04,,0.04,0.38
PC,66,8.5,2016.0,Adventure,Microids  ,Artefacts Studios  ,,,,0.02,,0.0,0.02
PC,53,6.2,2016.0,Adventure,Microids  ,Artefacts Studios  ,,,,0.02,,0.0,0.02
X360,66,5.8,2011.0,Action,Disney Interactive Studios  ,Disney Interactive Studios  ,6.7,,0.37,0.14,,0.05,0.57
PS4,66,6.3,2019.0,Platform,HumaNature Studios  ,HumaNature Studios  ,,,,,,,
XOne,66,7.6,2018.0,Sports,Big Ant Studios  ,Big Ant Studios  ,,,,,,,
NS,66,6.9,2017.0,Action,TinyBuild Games  ,Team Shifty  ,,,,,,,
XOne,66,6.9,2016.0,Adventure,Bigben Interactive  ,Bigben Interactive  ,,,0.05,,,0.01,0.06
PC,66,5.3,2014.0,Misc,Team17 Software  ,Unknown  ,,,,,,,
PC,66,6.7,2012.0,Shooter,Rebellion Developments  ,Rebellion Developments  ,6.0,,,0.0,,0.0,0.0
PC,66,7.7,2009.0,Adventure,Got Game Entertainment  ,Cinemax  /  Centauri Production  ,,,,,,,
PSP,66,7.3,2007.0,Role-Playing,Atlus  ,GAIA  ,,,,,0.04,,0.04
XB,66,8.4,2005.0,Action,KOEI  ,Omega Force  ,,,0.04,0.01,,0.0,0.05
PSV,66,7.6,2012.0,Misc,Sega  ,Unknown  ,,,,0.0,,0.0,0.0
PS2,66,6.7,2003.0,Racing,Namco  ,Namco  ,,,0.14,0.11,,0.04,0.28
XB,66,6.9,2005.0,Strategy,2K Games  ,PopTop Software  ,,,0.03,0.01,,0.0,0.04
PS5,66,tbd,,Adventure,Unknown  ,Subliminal  ,,,,,,,
Wii,66,7.2,2008.0,Platform,Sega  ,Sonic Team/Dimps Corporation  ,6.7,8.2,1.26,0.68,0.02,0.22,2.16
PSP,66,7.0,2005.0,Platform,Sony Computer Entertainment  ,SIMS  ,6.6,,0.52,0.01,0.12,0.05,0.7
XOne,66,6.6,2016.0,Adventure,Microids  ,Artefacts Studios  ,,,,,,,
PC,66,6.3,2014.0,Shooter,Microsoft Studios  ,Vanguard Games  ,,,,,,,
PSV,66,7.0,2014.0,Misc,Sony Computer Entertainment America  ,Unknown  ,,,,,,,
DS,66,6.4,2009.0,Adventure,Disney Interactive Studios  ,Disney Interactive Studios  ,,,0.21,0.01,,0.02,0.24
PC,66,8.1,2020.0,Adventure,CBE Software s.r.o.  ,CBE Software s.r.o.  ,,,,,,,
PC,66,5.8,2010.0,Shooter,Square Enix  ,IO Interactive  ,6.5,,,0.06,,0.01,0.07
DC,66,6.4,2000.0,Fighting,THQ  ,Yuke's Future Media Creators  ,,,,,,,
Wii,66,7.6,2007.0,Sports,Electronic Arts  ,EA Canada  ,,,0.68,0.47,,0.13,1.29
PS3,66,5.2,2011.0,Misc,Sony Computer Entertainment  ,Magic Pixel Games  ,,,0.13,0.06,,0.04,0.23
GBA,66,tbd,2006.0,Adventure,SouthPeak Interactive  ,"Orbital Media, Inc.  ",7.2,,,,,,
NS,66,5.6,2020.0,Role-Playing,Private Division  ,Virtuos  ,,,,,,,
DS,66,8.1,2007.0,Role-Playing,Atlus  ,Ninja Studio  ,6.4,,,0.0,,,0.0
PS4,66,4.8,2018.0,Adventure,PQube  ,5pb. Inc.  ,,,0.03,,,0.01,0.04
NS,66,7.3,2017.0,Simulation,THQ Nordic  ,Weappy Studio  ,,,,0.0,,0.0,0.0
XOne,66,7.2,2017.0,Racing,Milestone S.r.l  ,Milestone S.r.l.  ,,,0.06,0.01,,0.01,0.08
PC,66,3.9,2005.0,Adventure,Electronic Arts  ,Electronic Arts  ,6.7,,,0.01,,0.0,0.01
X360,66,6.4,2009.0,Misc,Electronic Arts  ,Adrenalin Interactive  ,,,0.12,0.21,,0.04,0.37
PS2,66,8.4,2006.0,Platform,Tecmo  ,Tecmo  ,,,,,,,
PC,66,7.2,2013.0,Action,Born Ready Games  ,Born Ready Games Ltd.  ,,,,,,,
NS,66,3.3,2019.0,Shooter,Bethesda Softworks  ,MachineGames  ,,,,,,,
PS4,66,7.6,2016.0,Action-Adventure,FDG Entertainment  ,Cornfox & Brothers  ,,,,,,,
X360,66,5.8,2011.0,Misc,Ubisoft  ,Ubisoft  ,,,0.2,0.1,,0.03,0.32
PS3,66,tbd,2009.0,Misc,Konami  ,Blitz Games  ,,,0.07,0.03,,0.01,0.1
PSV,66,6.6,2012.0,Racing,Codemasters  ,Codemasters  ,,,0.03,0.08,0.01,0.02,0.14
DS,66,8.3,2011.0,Role-Playing,Square Enix  ,High Horse Entertainment  ,6.8,,0.53,0.09,0.27,0.05,0.93
X360,66,6.6,2010.0,Misc,Electronic Arts  ,Electronic Arts  ,,,0.16,0.09,,0.02,0.28
PS3,66,5.8,2009.0,Racing,Black Bean Games  ,Milestone S.r.l  ,,,0.0,0.03,,0.01,0.04
PS4,66,5.3,2019.0,Action,Cococucumber  ,Cococucumber  ,,,,,,,
PC,66,7.2,2018.0,Action,Namco Bandai Games  ,Soleil Software Studio Inc.  ,,,,,,,
NS,66,6.5,2017.0,Action,Tecmo Koei  ,Gust  ,,,0.02,0.02,0.01,0.0,0.06
PC,66,6.5,2015.0,Misc,Atlus  ,Unknown  ,,,,,,,
PC,66,5.8,2009.0,Adventure,DTP Entertainment  ,Autumn Moon  ,,,,0.02,,0.0,0.02
DS,66,8.3,2008.0,Simulation,Majesco  ,TechnoBrain  ,6.8,,0.05,0.0,,0.0,0.05
DS,66,7.8,2007.0,Strategy,Square Enix  ,Brownie Brown  ,6.4,,0.07,0.01,0.05,0.01,0.14
PC,66,7.4,2004.0,Platform,Sega  ,Sonic Team  ,,,,0.0,,0.0,0.0
GBA,66,tbd,2004.0,Action,Activision  ,Torus Games  ,,,0.05,0.02,,0.0,0.07
PS2,66,7.0,2004.0,Simulation,Konami  ,KCE Studios  ,,,0.05,0.04,,0.01,0.11
GBA,66,8.3,2002.0,Adventure,Ubisoft  ,Ubisoft Milan  ,,,0.1,0.04,,0.0,0.14
XB,66,7.8,2002.0,Adventure,Conspiracy Entertainment  ,Starbreeze Studios  ,,,0.11,0.03,,0.01,0.14
PS,66,7.3,2000.0,Platform,Sony Computer Entertainment  ,Argonaut Software  ,,,0.17,0.12,,0.02,0.31
Wii,65,8.3,2008.0,Simulation,Natsume  ,Runtime  ,,,0.67,0.03,0.06,0.05,0.82
3DS,65,7.7,2012.0,Sports,Nintendo  ,ParityBit  ,7.0,,,,0.12,,0.12
Wii,65,7.7,2009.0,Sports,Nintendo  ,Camelot Software Planning  ,6.6,,0.35,0.69,0.28,0.14,1.46
Wii,65,5.4,2008.0,Sports,2K Sports  ,Visual Concepts  ,,,0.06,0.0,,0.0,0.06
PC,65,6.4,,Strategy,Unknown  ,FireFly Studios  ,,,,,,,
PS2,65,7.4,2004.0,Shooter,Konami  ,Konami Computer Entertainment Tokyo  ,6.9,,0.1,0.08,,0.03,0.21
XOne,65,7.3,2020.0,Adventure,Bandai Namco Entertainment  ,Supermassive Games Ltd.  ,,,,,,,
PS3,65,6.9,2007.0,Simulation,Sega  ,From Software  ,6.6,,0.09,0.0,0.09,0.01,0.2
DS,65,5.9,2009.0,Simulation,505 Games  ,Cooking Mama Ltd.  ,,,0.79,0.66,0.08,0.17,1.69
X360,65,7.0,2008.0,Role-Playing,Microsoft Game Studios  ,Silicon Knights  ,6.5,,0.38,0.3,0.03,0.08,0.78
PC,65,6.1,2013.0,Misc,Polytron Corporation  ,Unknown  ,,,,,,,
DS,65,8.6,2009.0,Strategy,Warner Bros. Interactive  ,Hellbent Games  ,,,0.79,0.38,,0.12,1.29
NS,65,7.9,2020.0,Fighting,Nintendo  ,HAL Laboratory  ,,,,,,,
PS3,65,2.4,2011.0,Sports,THQ  ,THQ  ,4.5,,0.1,0.08,,0.03,0.22
PC,65,6.0,2010.0,Strategy,Paradox Interactive   ,Paradox Interactive  ,,,,,,,
Wii,65,6.0,2008.0,Role-Playing,Square Enix  ,Genius Sonority Inc./Eighting  ,,,0.18,0.01,0.5,0.02,0.71
PC,65,6.9,2012.0,Adventure,Focus Home Interactive  ,Pendulo Studios  ,,,,,,,
Wii,65,6.0,2007.0,Sports,EA Sports  ,EA Canada  ,,,0.32,0.59,0.01,0.12,1.03
GBA,65,tbd,2003.0,Racing,DSI Games  ,Full Fat  ,7.2,,0.01,0.0,,0.0,0.01
PS2,65,8.7,2003.0,Sports,Sony Computer Entertainment  ,989 Sports  ,,,0.2,0.16,,0.05,0.41
PS2,65,5.5,2000.0,Action,3DO  ,3DO  ,,,0.08,0.07,,0.02,0.17
DS,65,6.1,2006.0,Role-Playing,Nintendo  ,Next Entertainment  ,7.0,,0.16,0.01,0.29,0.01,0.48
PC,65,7.4,2013.0,Misc,Capcom  ,DONTNOD Entertainment  ,,,,0.05,,0.0,0.06
PS4,65,4.9,2019.0,Action,Xseed Games  ,HONEY PARADE GAMES  ,,,,,0.04,,0.04
PS2,65,tbd,2007.0,Sports,Electronic Arts  ,EA Salt Lake  ,,,0.19,0.15,,0.05,0.39
NS,65,tbd,2019.0,Role-Playing,Xseed Games  ,FuRyu  ,,,,,,,
PSP,65,7.7,2007.0,Action,Konami  ,Kojima Productions  ,6.9,,0.26,0.01,0.26,0.17,0.69
X360,65,7.4,2013.0,Shooter,Bandai Namco Games  ,From Software  ,,,,,0.01,,0.01
PS3,65,7.3,2012.0,Simulation,Namco Bandai  ,From Software  ,,,0.09,0.04,0.24,0.02,0.4
X360,65,6.2,2009.0,Action,Namco Bandai  ,Namco Bandai Games  ,6.4,,0.16,0.05,,0.02,0.24
PC,65,5.3,2008.0,Racing,Electronic Arts  ,EA Vancouver  ,,,,0.07,,0.01,0.07
PC,65,6.7,2008.0,Strategy,Independent  ,Tilted Mill Entertainment  ,7.0,,,,,,
PC,65,5.6,2008.0,Racing,Capcom  ,MileStone Inc.  ,,,,0.01,,0.0,0.01
GBA,65,7.5,2004.0,Action,Konami  ,Konami  ,,,0.23,0.09,,0.01,0.32
XB,65,7.2,2003.0,Action,Atari  ,Shiny Entertainment  ,,,0.72,0.43,0.01,0.04,1.2
PS2,65,7.9,2004.0,Adventure,THQ  ,THQ  ,,,0.24,0.19,,0.06,0.5
GBA,65,tbd,2004.0,Role-Playing,Ubisoft  ,"Treasure Co., Ltd.  ",7.0,,0.03,0.01,,0.0,0.04
DS,65,tbd,2009.0,Adventure,Sega  ,Her Interactive  ,,,0.1,,,0.01,0.11
PC,65,6.3,2003.0,Misc,1C Company  ,Unknown  ,,,,,,,
