Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,vg_user_score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
WiiU,92,8.9,2014.0,Fighting,Nintendo  ,Bandai Namco Games  ,9.2,,2.68,1.15,0.85,0.39,5.07
PS2,92,8.5,2006.0,Misc,RedOctane  ,Harmonix Music Systems  ,9.2,,3.81,0.63,,0.68,5.12
PS,92,9.1,1997.0,Role-Playing,Sony Computer Entertainment  ,SquareSoft  ,9.6,9.5,3.01,2.47,3.28,0.96,9.72
PS3,92,8.1,2007.0,Misc,MTV Games  ,Harmonix Music Systems  ,9.1,,0.99,0.41,,0.22,1.62
DS,92,9.1,2008.0,Role-Playing,Square Enix  ,Square Enix  ,9.2,,0.61,0.17,0.49,0.08,1.34
NS,92,8.5,2018.0,Action,Nintendo  ,PlatinumGames  ,9.5,,0.26,0.2,0.07,0.04,0.57
Wii,92,9.1,2012.0,Role-Playing,Nintendo  ,Monolith Soft  ,9.3,,0.43,0.25,0.16,0.07,0.92
N64,92,8.9,2001.0,Platform,Rare  ,Rare Ltd.  ,9.2,,0.53,0.22,,0.02,0.77
PS,92,8.7,1999.0,Shooter,Electronic Arts  ,DreamWorks Interactive  ,9.3,,1.44,1.09,,0.14,2.67
X360,92,8.2,2008.0,Misc,MTV Games  ,Harmonix Music Systems  ,9.2,,1.78,0.24,,0.18,2.2
NS,92,8.6,2017.0,Racing,Nintendo  ,Nintendo EPD  ,9.3,,5.05,4.98,2.11,0.91,13.05
PS3,92,8.7,2011.0,Adventure,Sony Computer Entertainment  ,Bluepoint Games  ,9.0,,0.67,0.36,0.13,0.18,1.34
Wii,92,8.6,2011.0,Platform,Ubisoft  ,Ubisoft  ,9.5,,0.21,0.28,,0.06,0.55
