Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
50091,The Perfect General,PC,1991,Strategy,Quantum Quality  ,White Wolf Productions  ,,,,,,,
50092,The Perfect General II,PC,1994,Strategy,American Laser Games  ,Quantum Quality Productions  ,,,,,,,
50093,The Perfect Match,XBL,2009,Puzzle,Microsoft  ,Onion Factory  ,,,,,,,
50094,The Periodic Table,XBL,2009,Misc,Microsoft  ,Wiley  ,,,,,,,
50095,The Pinball Arcade,PS4,2013,Misc,FarSight Studios  ,FarSight Studios  ,,,,,,,
50096,The Pirates of Dark Water,SNES,1994,Platform,Sunsoft  ,Iguana Entertainment  ,,,,,,,
50097,The Pirates of Dark Water,GEN,1994,Platform,Sunsoft  ,Iguana Entertainment  ,,,,,,,
50098,The Polar Express,PC,2004,Adventure,THQ  ,Blue Tongue  ,,,,,,,
50099,The Political Machine,PC,2004,Strategy,Ubisoft  ,Stardock  ,,,,,,,
50100,The PowerPuff Girls Learning Challenge #1- Mojo Jojo's Clone Zone,PC,2002,Misc,The Learning Company  ,The Learning Company  ,,,,,,,
50101,The Powerpuff Girls: Paint the Townsville Green,GB,2000,Adventure,BAM! Entertainment  ,Sennari Int.  ,,,,,,,
50102,The Precursors,PC,2010,Shooter,Unknown  ,Deep Shadows  ,,,,,,,
50103,The Precursors,X360,N/A,Shooter,Unknown  ,Deep Shadows  ,,,,,,,
50104,The Price is Right,PC,2008,Misc,Ubisoft  ,Ludia Inc.  ,,,,,,,
50105,The Price is Right,DSiW,2010,Misc,Ludia  ,Ludia Inc.  ,,,,,,,
