fill,Name,Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,Global_Sales
2719,NASCAR 2001,PS,73,7.1,2000,Racing,EA Sports  ,EA Black Box  ,,810000.0
2720,Dokapon Kingdom,Wii,73,8.3,2008,Role-Playing,Atlus  ,Sting  ,7.2,130000.0
2721,Beautiful Katamari,X360,73,7.0,2007,Puzzle,Namco Bandai  ,Now Production  ,7.3,320000.0
2722,NBA Live 08,PSP,73,6.7,2007,Sports,Electronic Arts  ,EA Canada  ,6.8,310000.0
2723,Call of Duty: WWII,PC,73,3.9,2017,Shooter,Activision  ,Sledgehammer Games  ,,190000.0
2724,Dragon Ball Z: Attack of the Saiyans,DS,73,8.2,2009,Role-Playing,Namco Bandai  ,Monolith Soft  ,7.2,360000.0
2725,Armored Core: Nexus,PS2,73,8.8,2004,Simulation,Agetec  ,From Software  ,,260000.0
2726,Mega Man X Collection,PS2,73,8.8,2006,Misc,Capcom  ,Capcom  ,7.5,240000.0
2727,Drawn to Life,DS,73,7.8,2007,Adventure,THQ  ,5TH Cell  ,,780000.0
2728,Agents of Mayhem,XOne,73,6.2,2017,Action,Deep Silver  ,Volition Inc.  ,,110000.0
2729,Real World Golf,PS2,73,6.3,2006,Sports,Mad Catz  ,In2Games / Aqua Pacific  ,,110000.0
2730,Zone of the Enders HD Collection,PS3,73,7.8,2012,Action,Konami Digital Entertainment  ,Kojima Productions  ,,390000.0
2731,The Sims 3,DS,73,6.2,2010,Simulation,Electronic Arts  ,The Sims Studio  ,7.5,670000.0
2732,Dragon Ball Z: Budokai Tenkaichi 2,PS2,73,8.5,2006,Fighting,Atari  ,Spike  ,,790000.0
2733,Anarchy Reigns,X360,73,8.0,2013,Action,Sega  ,PlatinumGames  ,,180000.0
2734,Red Faction: Guerrilla Re-Mars-tered,XOne,73,4.9,2018,Shooter,THQ Nordic  ,Volition  ,,50000.0
2735,Mini Ninjas,X360,73,8.3,2009,Action,Eidos Interactive  ,IO Interactive  ,,290000.0
2736,X3: Terran Conflict,PC,73,7.9,2009,Simulation,Atari  ,Egosoft  ,,30000.0
2737,Contact,DS,73,8.2,2006,Role-Playing,Atlus  ,Grasshopper Manufacture  ,,100000.0
2738,Tony Hawk's Proving Ground,PS3,73,6.5,2007,Sports,Activision  ,Neversoft Entertainment  ,,440000.0
2739,Yomawari: The Long Night Collection,NS,73,7.2,2018,Action-Adventure,NIS America  ,Nippon Ichi Software  ,,50000.0
2740,LBX: Little Battlers eXperience,3DS,73,7.4,2015,Action,Nintendo  ,Level 5  ,7.0,210000.0
2741,God of War Collection,PSV,73,7.8,2014,Action,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,,240000.0
2742,The Lord of the Rings: The Third Age,PS2,73,8.0,2004,Role-Playing,Electronic Arts  ,EA Redwood Shores  ,,580000.0
2743,Classic NES Series: Zelda II: The Adventure of Link,GBA,73,7.3,2004,Adventure,Nintendo  ,Nintendo EAD  ,6.6,700000.0
2744,WWE Road to WrestleMania X8,GBA,73,7.5,2002,Fighting,THQ  ,Natsume  ,,270000.0
2745,Excite Truck,Wii,72,8.4,2006,Racing,Nintendo  ,Monster Games Inc.  ,7.0,530000.0
2746,F.E.A.R.,PS3,72,7.6,2007,Shooter,Vivendi Games  ,Day 1 Studios  ,,540000.0
2747,Capcom Classics Collection Remixed,PSP,72,6.3,2006,Misc,Capcom  ,Digital Eclipse  ,7.7,300000.0
2748,Styx: Shards of Darkness,PS4,72,7.2,2017,Action,Focus Home Interactive  ,Cyanide Studio  ,,70000.0
2749,Wii Fit U,WiiU,72,7.8,2014,Misc,Nintendo  ,Nintendo  ,7.2,860000.0
2750,Ridge Racer Unbounded,PS3,72,6.1,2012,Racing,Namco Bandai Games  ,Bugbear Entertainment  ,,170000.0
2751,Majesty 2: The Fantasy Kingdom Sim,PC,72,7.2,2009,Strategy,Paradox Interactive   ,Ino-Co / 1C Company  ,,20000.0
2752,Brothers In Arms DS,DS,72,8.1,2007,Shooter,Ubisoft  ,Gearbox Software  ,,40000.0
2753,Harvest Moon: Frantic Farming,DS,72,6.3,2009,Puzzle,Natsume  ,Natsume  ,7.0,100000.0
2754,Serious Sam II,XB,72,6.5,2005,Shooter,2K Games  ,Croteam  ,,60000.0
2755,Urban Chaos: Riot Response,XB,72,8.3,2006,Shooter,Eidos Interactive  ,Rocksteady Studios  ,,20000.0
2756,UEFA Champions League 2006-2007,X360,72,8.2,2007,Sports,EA Sports  ,EA Canada  ,,50000.0
2757,Persona 5: Dancing in Starlight,PS4,72,6.2,2018,Music,Atlus  ,Atlus  ,,60000.0
2758,Medal of Honor: European Assault,XB,72,7.1,2005,Shooter,Electronic Arts  ,EA Los Angeles  ,,530000.0
2759,Bujingai: The Forsaken City,PS2,72,7.9,2004,Fighting,BAM! Entertainment  ,RED Entertainment  ,,100000.0
2760,Castlevania: Lords of Shadow - Mirror of Fate,3DS,72,7.2,2013,Action-Adventure,Konami Digital Entertainment  ,Mercury Steam  ,7.2,160000.0
2761,Dead Rising 4,XOne,72,4.8,2016,Action-Adventure,Microsoft Studios  ,Capcom  ,,730000.0
2762,Broken Sword 5: The Serpent's Curse,PS4,72,7.3,2019,Adventure,Unbalance  ,Revolution Software  ,,70000.0
2763,Alpha Protocol,PC,72,7.5,2010,Role-Playing,Sega  ,Obsidian Entertainment  ,,30000.0
2764,The Surge,PC,72,6.7,2017,Action,Focus Home Interactive  ,DECK13 Interactive  ,,10000.0
2765,Need for Speed Underground 2,GBA,72,7.8,2004,Racing,Electronic Arts  ,Pocketeers  ,,430000.0
2766,Siren,PS2,72,7.9,2003,Adventure,Sony Computer Entertainment  ,SCE Japan Studio  ,,180000.0
2767,Buffy the Vampire Slayer: Chaos Bleeds,PS2,72,8.8,2003,Action,VU Games  ,Eurocom Entertainment Software  ,,180000.0
2768,X2: Wolverine's Revenge,GBA,72,7.0,2003,Platform,Activision  ,Vicarious Visions  ,7.7,200000.0
2769,Impossible Creatures,PC,72,7.9,2002,Strategy,Microsoft Game Studios  ,Relic  ,,10000.0
2770,NBA Inside Drive 2003,XB,72,7.6,2002,Sports,Microsoft Game Studios  ,High Voltage Software  ,,310000.0
2771,Looney Tunes: Sheep Raider,PS,72,8.6,2001,Platform,Infogrames  ,Infogrames  ,,120000.0
2772,Tricky Towers,PS4,72,6.9,2017,Puzzle,Soedesco  ,WeirdBeard  ,,20000.0
2773,Remember Me,PS3,72,7.3,2013,Action,Capcom  ,DONTNOD Entertainment  ,,340000.0
2774,Serious Sam 3: BFE,PC,72,8.1,2011,Shooter,Devolver Digital  ,Croteam  ,7.0,80000.0
2775,WWE SmackDown vs. Raw 2009,PSP,72,6.5,2008,Fighting,THQ  ,Yuke's Media Creations  ,7.9,750000.0
2776,Bully: Scholarship Edition,PC,72,7.6,2008,Action,Rockstar Games  ,Rockstar Vancouver/Mad Doc Software  ,6.6,30000.0
2777,Final Fantasy Type-0 HD,PS4,72,7.5,2015,Role-Playing,Square Enix  ,Square Enix  ,,1040000.0
2778,Order Up!!,3DS,72,6.5,2012,Action,Ignition Entertainment  ,SuperVillain Studios  ,,10000.0
2779,DC Universe Online,PC,72,6.7,2011,MMO,Sony Online Entertainment  ,WBIE  ,7.0,230000.0
2780,NBA 2K8,PS2,72,6.0,2007,Sports,2K Sports  ,Visual Concepts  ,,600000.0
2781,Race Pro,X360,72,7.1,2009,Racing,Atari  ,SimBin  ,,170000.0
